id,campaign,intent,risk_flags,route,quality_checks,draft_response_rule
MSG-001,rebooking,schedule_request,standard,ai_draft_then_human_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount, ask_for_two_time_options",Offer to check availability and ask for two preferred windows.
MSG-002,rebooking,pricing_question,standard,ai_draft_then_human_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount, quote_from_approved_menu_only",Answer only from the approved service menu and invite the client to choose an add-on.
MSG-006,vip_retention,schedule_request,standard,ai_draft_then_human_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount, ask_for_two_time_options",Offer to check availability and ask for two preferred windows.
MSG-008,rebooking,unclear_interest,standard,ai_draft_then_human_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount, ask_one_low_pressure_question",Ask one simple question to clarify interest.
MSG-011,vip_retention,logistics_question,standard,ai_draft_then_human_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount",Provide the approved location detail and ask whether they need parking notes.
MSG-010,rebooking,same_day_schedule_issue,late_arrival,front_desk_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount",Route to front desk because timing affects the live calendar. Human review is required before send.
MSG-004,winback,service_recovery,"complaint, medical_or_reaction",human_owner_review,"acknowledge_without_defensiveness, avoid_medical_advice, owner_review_before_send",Draft an apology and hand to the owner before any customer reply. Human review is required before send.
MSG-007,post_visit,service_recovery,medical_or_reaction,human_owner_review,"acknowledge_without_defensiveness, avoid_medical_advice, owner_review_before_send",Draft an apology and hand to the owner before any customer reply. Human review is required before send.
MSG-005,vip_retention,policy_or_pricing_question,pricing_exception,manager_policy_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount",State that a team member will confirm policy before promising a discount or credit. Human review is required before send.
MSG-012,winback,policy_or_pricing_question,pricing_exception,manager_policy_review,"warm_brand_voice, one_clear_next_step, no_unapproved_discount",State that a team member will confirm policy before promising a discount or credit. Human review is required before send.
MSG-009,winback,not_ready,competitor_booked,no_push_follow_up,"warm_brand_voice, one_clear_next_step, no_unapproved_discount",Acknowledge the choice and avoid pressure or repeated winback messages.
MSG-003,winback,opt_out,opt_out,suppress_and_confirm,"confirm_opt_out, no_marketing_language, suppress_future_campaigns",Send a short opt-out confirmation and stop all campaign messages.
